scale_employer_MH,easy_medical_leave,observe_coworker_likelihood,comfortable_discussing_coworkers,has_disorder
5.0,Neither easy nor difficult,No,Yes,1
9.0,Somewhat easy,No,Maybe,1
4.0,Somewhat difficult,No,Yes,0
2.0,Neither easy nor difficult,Yes,Maybe,1
5.0,Somewhat easy,No,Yes,1
6.0,Somewhat easy,No,Maybe,1
2.0,Somewhat easy,No,No,0
1.0,Somewhat easy,No,No,1
1.0,Somewhat difficult,Maybe,Maybe,0
5.0,Somewhat difficult,Yes,No,1
9.0,Very easy,No,Maybe,1
8.0,Very easy,No,Yes,1
6.0,Somewhat difficult,Yes,No,0
8.0,Somewhat easy,No,Yes,0
5.0,Somewhat easy,No,Yes,1
7.0,Somewhat easy,No,No,0
3.0,Somewhat difficult,Maybe,No,1
4.0,Somewhat difficult,Maybe,Maybe,1
5.0,Somewhat difficult,Yes,No,0
10.0,Very easy,No,Yes,1
7.0,Somewhat easy,Yes,Maybe,1
3.0,Somewhat easy,No,Maybe,0
8.0,Very easy,Yes,Maybe,1
5.0,Neither easy nor difficult,No,No,1
8.0,Very easy,Yes,Maybe,1
5.0,Very easy,Maybe,Yes,1
1.0,Somewhat easy,Yes,No,0
8.0,Very easy,No,Yes,0
8.0,Very easy,Maybe,No,1
8.0,Very easy,No,Maybe,1
8.0,Neither easy nor difficult,No,Maybe,0
10.0,Very easy,No,Maybe,1
3.0,Somewhat easy,Maybe,Yes,0
5.0,Very easy,No,Maybe,0
4.0,Very easy,No,Maybe,0
4.0,Somewhat easy,Maybe,No,1
3.0,Somewhat difficult,Yes,Yes,0
6.0,Very easy,No,Maybe,0
6.0,Neither easy nor difficult,No,Maybe,1
6.0,Somewhat difficult,Yes,Maybe,1
8.0,Very easy,Maybe,Yes,0
3.0,Somewhat difficult,No,Maybe,1
2.0,Very easy,No,Maybe,1
7.0,Somewhat easy,No,Yes,1
10.0,Somewhat easy,No,Yes,1
3.0,Neither easy nor difficult,Yes,Maybe,1
5.0,Neither easy nor difficult,No,No,1
10.0,Neither easy nor difficult,No,Yes,1
8.0,Very easy,No,Yes,0
6.0,Somewhat easy,No,Maybe,1
7.0,Somewhat easy,No,Yes,1
7.0,Very easy,No,Maybe,0
3.0,Neither easy nor difficult,No,No,1
0.0,Somewhat difficult,Yes,Maybe,1
6.0,Neither easy nor difficult,No,Maybe,0
4.0,Somewhat easy,Maybe,Maybe,1
6.0,Very easy,No,Maybe,1
5.0,Very easy,Yes,Yes,0
6.0,Very easy,Maybe,Maybe,1
7.0,Very easy,No,Maybe,0
5.0,Somewhat easy,No,No,0
3.0,Somewhat difficult,No,Yes,0
5.0,Somewhat easy,No,Yes,1
7.0,Very easy,Maybe,Yes,1
5.0,Somewhat easy,Maybe,Yes,1
4.0,Neither easy nor difficult,No,Yes,0
9.0,Somewhat difficult,No,No,0
6.0,Somewhat easy,Maybe,Maybe,0
8.0,Very easy,No,Yes,1
5.0,Neither easy nor difficult,Yes,No,0
6.0,Somewhat difficult,Maybe,No,1
4.0,Somewhat easy,No,Yes,1
3.0,Very easy,Yes,No,1
3.0,Somewhat difficult,Maybe,Maybe,1
6.0,Neither easy nor difficult,No,Maybe,0
3.0,Somewhat easy,No,Maybe,1
1.0,Somewhat difficult,No,No,1
2.0,Neither easy nor difficult,Yes,Maybe,1
2.0,Neither easy nor difficult,Maybe,Maybe,0
3.0,Somewhat easy,No,Yes,0
2.0,Neither easy nor difficult,No,Maybe,0
2.0,Somewhat easy,No,Maybe,0
5.0,Somewhat easy,Yes,Maybe,1
7.0,Neither easy nor difficult,No,Maybe,1
2.0,Somewhat easy,No,No,0
5.0,Somewhat difficult,Yes,No,1
2.0,Somewhat easy,Yes,Yes,1
8.0,Somewhat easy,Maybe,No,0
7.0,Very easy,No,Yes,1
5.0,Somewhat easy,No,Yes,0
0.0,Somewhat easy,No,No,0
1.0,Somewhat difficult,Yes,No,0
7.0,Somewhat easy,No,Maybe,1
5.0,Somewhat easy,No,Yes,1
8.0,Somewhat easy,No,Maybe,0
8.0,Very easy,No,Yes,1
3.0,Somewhat difficult,No,Yes,0
4.0,Somewhat difficult,No,No,0
3.0,Somewhat difficult,No,Maybe,1
5.0,Somewhat easy,No,No,0
3.0,Somewhat difficult,Yes,Maybe,1
7.0,Somewhat easy,No,Yes,1
5.0,Neither easy nor difficult,No,No,0
3.0,Somewhat easy,Yes,Maybe,0
0.0,Somewhat difficult,No,Yes,0
5.0,Neither easy nor difficult,Yes,Maybe,1
0.0,Somewhat difficult,No,Maybe,1
3.0,Somewhat difficult,Yes,Maybe,1
9.0,Very easy,No,Yes,1
0.0,Very easy,Yes,No,0
8.0,Very easy,No,Maybe,1
2.0,Somewhat easy,No,No,0
5.0,Very easy,Yes,Maybe,1
9.0,Somewhat easy,No,Yes,0
5.0,Neither easy nor difficult,Yes,No,0
6.0,Somewhat difficult,Maybe,No,0
4.0,Neither easy nor difficult,No,Maybe,1
2.0,Somewhat difficult,Yes,No,1
7.0,Very easy,No,Yes,1
5.0,Somewhat difficult,Maybe,No,0
